ngram,hawkish,dovish,total,prob_feature_given_hawkish,prob_feature_given_dovish,polarity_score
관계자/NNG,5347,2738,8085,0.0008410102188954407,0.0005406945733262214,1.5554256698412017
종가/NNG,3444,4543,7987,0.0005416942573173551,0.0008971422376263785,0.6037997483548955
irs/NNG,3424,4232,7656,0.0005385485299229454,0.000835726601284357,0.6444075479891342
추진/NNG,4541,2754,7295,0.0007142374049007287,0.0005438542202119847,1.3132883378607076
본부/NNG,3211,4039,7250,0.0005050465331724818,0.0007976133607248387,0.6331971830480824
업계/NNG,4496,2359,6855,0.0007071595182633068,0.00046585043771970653,1.5179968955804468
장기물/NNG,3053,3753,6806,0.00048019528675664495,0.0007411346726418222,0.6479190685344108
수입/NNG,4373,2429,6802,0.000687813294787687,0.0004796738928449204,1.4339185539331791
소득/NNG,4233,2539,6772,0.0006657932030268189,0.0005013964651845421,1.3278777359983371
cd/NNG,2998,3621,6619,0.0004715445364220182,0.0007150675858342762,0.6594405141044992
공사채/NNG,3070,3396,6466,0.0004828691550418932,0.0006706350515032316,0.7200177711551755
영업이익/NNG,4200,2263,6463,0.0006606027528260429,0.00044689255640512754,1.4782138197602417
매력/NNG,2921,3516,6437,0.00045943348595354073,0.0006943324031464553,0.6616909766439815
선진국/NNG,2735,3540,6275,0.00043017822118553026,0.0006990718734751001,0.6153562137282191
crs/NNG,2735,3517,6252,0.00043017822118553026,0.0006945298810768156,0.619380436905856
함께/MAG,4151,2095,6246,0.000652895720709739,0.0004137162641046143,1.5781243749814113
모두/MAG,3872,2345,6217,0.0006090128235577233,0.0004630857466946638,1.315118912436052
투신/NNG,2952,3238,6190,0.0004643093634148758,0.0006394335385063204,0.7261260716781849
경로/NNG,3689,2247,5936,0.0005802294178988743,0.0004437329095193644,1.3076096125648151
중립/NNG,4017,1895,5912,0.0006318193471671938,0.0003742206780325748,1.688360329228509
무단/NNG,2005,3842,5847,0.0003153591712895752,0.0007587102084438798,0.4156516780450064
다양/NNG,3650,2167,5817,0.0005740952494797753,0.00042793467509054855,1.3415487991439348
지연/NNG,3554,1968,5522,0.0005589957579866087,0.00038863656694886924,1.4383509055136148
뉴스/NNG,2572,2913,5485,0.000404540542921091,0.0005752532111392561,0.7032390868708435
계속/MAG,3388,2073,5461,0.0005328862206130079,0.00040937174963668997,1.3017171338421247
연체율/NNG,3387,1986,5373,0.0005327289342432874,0.0003921911696953528,1.358339951042503
여전히/MAG,3293,2001,5294,0.0005179440154895617,0.00039515333865075574,1.3107418433008122
많이/MAG,3338,1916,5254,0.0005250219021269835,0.0003783677145701389,1.3875969907301882
지정학/NNG,3647,1593,5240,0.0005736233903706139,0.00031458234306379503,1.8234443318844733
차입/NNG,2365,2828,5193,0.0003719822643889503,0.0005584675870586393,0.6660767303401119
저축은행/NNG,3571,1520,5091,0.000561669626271857,0.0003001664541475006,1.8711938609763992
순이익/NNG,3341,1707,5048,0.000525493761236145,0.0003370948271248576,1.558890018331565
기자/NNG,1156,3880,5036,0.00018182304339688226,0.0007662143697975673,0.23730048738830054
복제/NNG,2466,2558,5024,0.00038786818773071946,0.0005051485458613859,0.7678299599364807
부각/NNG,2401,2493,4894,0.0003776445736988878,0.0004923124803879731,0.7670830798383991
신청/NNG,2239,2620,4859,0.000352164181804169,0.0005173921775437182,0.6806523119001198
매파/NNG,2991,1830,4821,0.0004704435318339748,0.00036138461255916194,1.3017807496077574
전세/NNG,3259,1559,4818,0.0005125962789190652,0.00030786809343154835,1.6649866935075437
