ngram,hawkish,dovish,total,prob_feature_given_hawkish,prob_feature_given_dovish,polarity_score,polarity
가격/NNG;하락/NNG,402,239,641,6.381452767883704e-05,4.761145862384956e-05,1.340318686369147,Hawkish
꼽히/VV,427,212,639,6.778309283299357e-05,4.22327582772222e-05,1.6049885349200996,Hawkish
부자/NNG,422,207,629,6.698937980216226e-05,4.12367026574764e-05,1.6245086412120489,Hawkish
건축/NNG,404,224,628,6.413201289116957e-05,4.462329176461213e-05,1.437186956745951,Hawkish
고공행진/NNG,426,201,627,6.76243502268273e-05,4.004143591378143e-05,1.6888592699931726,Hawkish
전통시장/NNG,549,77,626,8.714969078527745e-05,1.533925654408542e-05,5.681480750700465,Hawkish
지구/NNG,465,160,625,7.38153118673115e-05,3.187377983186581e-05,2.3158631406970644,Hawkish
신혼/NNG,522,103,625,8.286364041878839e-05,2.0518745766763616e-05,4.038435943439165,Hawkish
이자이익/NNG,512,113,625,8.127621435712579e-05,2.251085700625523e-05,3.6105339896451327,Hawkish
컨퍼런스/NNG,469,151,620,7.445028229197654e-05,3.008087971632336e-05,2.475003490392476,Hawkish
예상/NNG;상회/NNG,394,225,619,6.254458682950695e-05,4.48225028885613e-05,1.3953836309633731,Hawkish
고채/NNG,397,220,617,6.302081464800573e-05,4.382644726881549e-05,1.437963115318451,Hawkish
외식/NNG,459,156,615,7.286285623031393e-05,3.107693533606917e-05,2.344595934005961,Hawkish
확전/NNG,526,86,612,8.349861084345343e-05,1.7132156659627875e-05,4.873794496650786,Hawkish
수출기업/NNG,429,181,610,6.81005780453261e-05,3.60572134347982e-05,1.8886811142095463,Hawkish
공실률/NNG,383,226,609,6.079841816167808e-05,4.502171401251046e-05,1.350424334017662,Hawkish
머니/NNG,455,154,609,7.222788580564888e-05,3.067851308817084e-05,2.354347669916859,Hawkish
장초/NNG,376,228,604,5.9687219918514246e-05,4.542013626040878e-05,1.314113625205955,Hawkish
고통/NNG,401,203,604,6.365578507267077e-05,4.043985816167975e-05,1.5740852704817376,Hawkish
